Region,Region Total,Arson,Campfire,"Debris
Burning","Elec.
Power","Equip.
Use",Ltng.,Misc.,P-W-F,"Rail-
road",Smoking,Undet.,Vehicle
NORTHERN REGION,,,,,,,,,,,,,
Amador-El Dorado,2379342,150,0,586,5233,1003171,150,811128,0,0,300,500554,58070
Butte,11448706,11001,7400000,1000,3973705,1500,200,45300,0,0,0,15000,1000
Humboldt-Del Norte,27773,0,4763,0,10000,0,0,12002,0,0,0,1008,0
Lassen-Modoc,112197,100,205,355,0,400,501,0,0,0,0,109136,1500
Mendocino,308664,0,2,102,12,2,0,300000,0,0,0,8046,500
Nevada-Yuba-Placer,6003406612,2190,0,600,6000003600,1015300,200,10950,0,0,1200,2159522,213050
San Mateo-Santa Cruz,1144515,1140000,0,600,2715,300,0,0,0,0,0,900,0
Santa Clara,108439,1,50000,0,1200,15000,0,2800,0,0,0,33638,5800
Shasta-Trinity,3135208,16200,0,200,35600,15700,508,3000000,0,0,5000,10000,52000
Siskiyou,146800,35000,0,9050,2300,32500,0,21000,300,0,0,38600,8050
Sonoma-Lake-Napa,6063244039,302602,0,20100000,6040090603,2466502,0,156828,400,0,0,82002,45102
Tehama-Glenn,498670,0,2000,13700,225000,166900,11400,29850,200,0,0,12620,37000
TOTAL,12085960965,1507244,7456970,20126193,12044349968,4717275,12959,4389858,900,0,6500,2971026,422072
SOUTHERN REGION,,,,,,,,,,,,,
Fresno-Kings,415700,0,0,374000,13900,1800,0,0,500,0,0,25000,500
Madera-Mariposa,43129781,700,20000,2000,2085405,2550,200,40394203,400,0,15,52308,572000
Riverside,315015,9600,0,150500,1300,5200,5000,15002,500,0,0,5213,122700
San Benito-Monterey,608977,0,3000,0,4865,502,450,568350,0,0,0,25210,6600
San Bernardino,33361,0,0,0,0,1000,0,50,0,0,100,2211,30000
San Diego,18054,0,0,0,5101,0,0,9500,0,0,0,2253,1200
San Luis Obispo,3765125,0,0,502,30874,830351,0,2800,0,0,0,41850,2858748
Tulare,24105,1000,0,0,5000,5000,0,105,0,0,0,13000,0
Tuolumne-Calaveras,854819,100,400,2701,48426,175512,0,6109,100,2600,100,603525,15246
TOTAL,49164937,11400,23400,529703,2194871,1021915,5650,40996119,1500,2600,215,770570,3606994
STATE TOTAL,12135125902,1518644,7480370,20655896,12046544839,5739190,18609,45385977,2400,2600,6715,3741596,4029066
