Region,Region Total,Arson,Campfire,"Debris
Burning","Elec.
Power","Equip.
Use",Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
NORTHERN REGION,,,,,,,,,,,,,
Amador-El Dorado,3067705,0,0,42402,259102,806400,0,15700,0,0,0,1915001,29100
Butte,2000708648,8000,0,1000,2000176698,380000,0,71700,40000,0,0,1000,30250
Humboldt-Del Norte,1347383,13100,0,60000,200,455500,0,670612,0,0,0,96971,51000
Lassen-Modoc,1479182,0,300000,0,303000,77501,816,12861,400000,0,0,374004,11000
Mendocino,30763211,0,0,3,0,27250,0,30305000,2,0,0,427956,3000
TNoetavlada-Yuba-Placer,4910633,8000,0,0,52800,2328200,0,212100,0,0,500,2103481,205552
"San Mateo-Santa
Cruz",1018001,6000,0,0,2000,1251,0,550,0,0,0,1004200,4000
Santa Clara,3220947,0,0,200000,150,80500,0,149925,0,0,0,2775772,14600
Shasta-Trinity,2001704123,22100,310000,0,2400,213925,0,196500,0,0,0,531200,2000427998
Siskiyou,5903209,5431459,0,25500,0,10250,0,329000,0,0,0,0,107000
Sonoma-Lake-Napa,15086887,450,0,3,319205,127428,0,7906394,0,0,0,6621502,111905
Tehama-Glenn,8037600,3000,0,0,246800,1450700,0,1350100,1300,0,400,1938800,3046500
TOTAL,4077247529,5492109,610000,328908,2001362355,5958905,816,41220442,441302,0,900,17789887,2004041905
SOUTHERN REGION,,,,,,,,,,,,,
Fresno-Kings,111401,20000,0,250,0,28150,0,800,10000,0,0,12201,40000
Madera-Mariposa,1862782,275,0,100105,259300,1414800,0,33900,200,0,0,23002,31200
Riverside,115605,0,0,0,1000,1000,0,0,0,0,0,103603,10002
"San Benito-
Monterey",295972,20300,0,10000,46460,3000,0,4600,0,0,0,123100,88512
San Bernardino,89000,1000,0,0,2000,10000,0,10500,0,0,0,65500,0
San Diego,661802,0,0,2,120000,100,0,365050,0,0,0,13150,163500
San Luis Obispo,64793,0,50,0,9343,3720,0,100,0,0,0,5500,46080
Tulare,357026,15000,0,0,1000,9700,0,330526,0,0,0,800,0
"Tuolumne-
Calaveras",3767106,22000,40500,2100,1710,3552801,1000,1040,0,0,100,72025,73830
TOTAL,7325487,78575,40550,112457,440813,5023271,1000,746516,10200,0,100,418881,453124
STATE TOTAL,4084573016,5570684,650550,441365,2001803168,10982176,1816,41966958,451502,0,1000,18208768,2004495029
