Region,Region Total,Arson,Campfire,"Debris
Burning","Elec.
Power","Equip.
Use",Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
NORTHERN REGION,,,,,,,,,,,,,
Amador-El Dorado,3150103.00,38000.00,0.00,1.00,0.00,82700.00,0.00,1700.00,0.00,0.00,0.00,3019702.00,8000.00
Butte,175501.00,100700.00,0.00,1100.00,1000.00,4000.00,1.00,0.00,0.00,0.00,0.00,63500.00,5200.00
Humboldt-Del Norte,31701.00,6600.00,100.00,900.00,1.00,21000.00,0.00,1200.00,0.00,0.00,0.00,1400.00,500.00
Lassen-Modoc,8322.00,0.00,0.00,7100.00,20.00,200.00,500.00,2.00,0.00,0.00,0.00,0.00,500.00
Mendocino,108800.00,0.00,0.00,6000.00,1000.00,40000.00,0.00,1600.00,0.00,0.00,0.00,20000.00,40200.00
Nevada-Yuba-Placer,966271.00,0.00,1551.00,400.00,139550.00,149250.00,0.00,626600.00,200.00,0.00,0.00,23720.00,25000.00
TSoatanl Mateo-Santa Cruz,116406.00,0.00,0.00,11000.00,1500.00,0.00,0.00,200.00,0.00,0.00,0.00,50.00,103656.00
Santa Clara,844021.00,265510.00,400.00,0.00,100.00,81300.00,0.00,14201.00,0.00,0.00,0.00,350210.00,132300.00
Shasta-Trinity,4703640.00,4000000.00,50500.00,21000.00,19000.00,83300.00,1000.00,100800.00,0.00,0.00,100.00,420000.00,7940.00
Siskiyou,211500.00,2000.00,0.00,0.00,200000.00,0.00,0.00,9000.00,0.00,0.00,0.00,0.00,500.00
Sonoma-Lake-Napa,384240361.00,50.00,0.00,203.00,383763206.00,149682.00,80000.00,109020.00,500.00,0.00,500.00,17000.00,120200.00
Tehama-Glenn,1380950.00,400.00,201250.00,289200.00,13200.00,10300.00,472200.00,37850.00,0.00,0.00,0.00,46350.00,310200.00
TOTAL,395937576.00,4413260.00,253801.00,336904.00,384138577.00,621732.00,553701.00,902173.00,700.00,0.00,600.00,3961932.00,754196.00
SOUTHERN REGION,,,,,,,,,,,,,
Fresno-Kings,54786.00,1000.00,0.00,100.00,33306.00,19000.00,0.00,500.00,0.00,0.00,500.00,280.00,100.00
Madera-Mariposa,429032.00,6500.00,0.00,4742.00,6670.00,114400.00,250.00,2000.00,0.00,0.00,800.00,64650.00,229020.00
Riverside,496090.00,0.00,0.00,6000.00,40.00,12100.00,0.00,11850.00,10000.00,0.00,500.00,442600.00,13000.00
San Benito-Monterey,42521.00,20.00,500.00,1000.00,7150.00,1351.00,0.00,500.00,0.00,0.00,500.00,400.00,31100.00
San Bernardino,158900.00,0.00,0.00,0.00,1400.00,150.00,0.00,250.00,100.00,0.00,0.00,145500.00,11500.00
San Diego,371100.00,0.00,0.00,0.00,5000.00,1400.00,0.00,0.00,0.00,0.00,0.00,269200.00,95500.00
San Luis Obispo,4876280.00,0.00,0.00,60.00,4510720.00,20400.00,0.00,125000.00,0.00,0.00,0.00,213000.00,7100.00
Tulare,362717.00,800.00,0.00,2000.00,0.00,8502.00,0.00,350000.00,0.00,0.00,0.00,1415.00,0.00
Tuolumne-Calaveras,1313237.00,400728.00,200.00,131700.00,140430.00,35508.00,350.00,12400.00,1100.00,0.00,200.00,25317.00,565304.00
TOTAL,8104663.00,409048.00,700.00,145602.00,4704716.00,212811.00,600.00,502500.00,11200.00,0.00,2500.00,1162362.00,952624.00
STATE TOTAL,404042239.00,4822308.00,254501.00,482506.00,388843293.00,834543.00,554301.00,1404673.00,11900.00,0.00,3100.00,5124294.00,1706820.00
